Date,MaxT,MinT,Pcpn,Snow,Snwg
3/11/2017,86,51,0,0,0
3/12/2017,91,52,0,0,0
3/13/2017,93,55,0,0,0
3/14/2017,90,54,0,0,0
3/15/2017,88,60,0,0,0
3/16/2017,82,55,0,0,0
3/17/2017,85,54,0,0,0
3/18/2017,80,54,0,0,0
3/19/2017,81,52,0,0,0
3/20/2017,71,55,0,0,0
3/21/2017,62,55,0.18,0,0
3/22/2017,67,52,0.06,0,0
3/23/2017,71,50,0,0,0
3/24/2017,72,48,0,0,0
3/25/2017,69,50,T,0,0
3/26/2017,69,50,0,0,0
3/27/2017,72,50,0,0,0
3/28/2017,80,56,0,0,0
3/29/2017,84,54,0,0,0
3/30/2017,75,53,0,0,0
3/31/2017,76,53,0,0,0
4/1/2017,78,47,0,0,0
4/2/2017,78,53,0,0,0
4/3/2017,71,52,0,0,0
4/4/2017,79,50,0,0,0
4/5/2017,86,55,0,0,0
4/6/2017,79,55,0,0,0
4/7/2017,74,51,0.05,0,0
4/8/2017,69,51,0.06,0,0
4/9/2017,76,49,0,0,0
4/10/2017,80,47,0,0,0
4/11/2017,77,50,0,0,0
4/12/2017,76,52,0,0,M
4/13/2017,69,52,0,0,0
4/14/2017,73,53,0,0,0
4/15/2017,81,49,0,0,0
4/16/2017,79,53,0,0,0
4/17/2017,74,53,0,0,0
4/18/2017,76,59,0,0,0
4/19/2017,80,57,0,0,0
4/20/2017,83,56,0,0,0
4/21/2017,93,59,0,0,0
4/22/2017,94,58,0,0,0
4/23/2017,82,58,0,0,0
4/24/2017,74,55,0,0,0
4/25/2017,77,59,0,0,0
4/26/2017,88,63,0,0,0
4/27/2017,80,66,0,0,0
4/28/2017,81,64,0,0,0
4/29/2017,87,62,0,0,0
4/30/2017,88,56,0,0,0
5/1/2017,89,57,0,0,0
5/2/2017,91,60,0,0,0
5/3/2017,92,60,0,0,0
5/4/2017,91,59,0,0,0
5/5/2017,77,56,0,0,0
5/6/2017,68,49,T,M,0
5/7/2017,64,48,0.05,M,0
5/8/2017,81,45,0,0,0
5/9/2017,68,54,0,0,0
5/10/2017,67,58,0,0,0
5/11/2017,78,53,0,0,0
5/12/2017,76,54,0,0,0
5/13/2017,79,57,0,0,0
5/14/2017,71,50,0,0,0
5/15/2017,65,53,T,0,0
5/16/2017,70,49,0,0,0
5/17/2017,71,53,0,0,0
5/18/2017,79,51,0,0,0
5/19/2017,92,55,0,0,0
5/20/2017,96,58,0,0,0
5/21/2017,96,62,0,0,0
5/22/2017,92,63,0,0,0
5/23/2017,93,61,0,0,0
5/24/2017,83,56,0,0,0
5/25/2017,69,56,0,0,0
5/26/2017,70,56,0,0,0
5/27/2017,75,53,0,0,0
5/28/2017,84,55,0,0,0
5/29/2017,79,55,0,0,0
5/30/2017,80,58,0,0,0
5/31/2017,73,59,0,0,0
6/1/2017,79,60,0,0,0
6/2/2017,92,58,0,0,0
6/3/2017,92,60,0,0,0
6/4/2017,88,61,0,0,0
6/5/2017,84,60,0,0,0
6/6/2017,76,61,0,0,0
6/7/2017,77,60,0,0,0
6/8/2017,79,59,0,0,0
6/9/2017,81,57,0,0,0
6/10/2017,73,60,0,0,0
6/11/2017,72,58,0,0,0
6/12/2017,77,54,0,0,0
6/13/2017,85,57,0,0,0
6/14/2017,92,60,0,0,0
6/15/2017,94,62,0,0,0
6/16/2017,97,64,0,0,0
6/17/2017,95,64,0,0,0
6/18/2017,95,66,0,0,0
6/19/2017,96,67,0,0,0
6/20/2017,100,67,0,0,0
6/21/2017,98,69,0,0,0
6/22/2017,87,63,0,0,0
6/23/2017,87,63,0,0,0
6/24/2017,89,65,T,0,0
6/25/2017,109,66,0,0,0
